title,image_url,category,era,size_and_description
「臨池真賞」墨,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=334919&randomCode=15078280,文具,清 康熙五十五年,高23.0公分 徑長4.6公分 寬4.2公分 八方柱狀墨，質堅緻。一面有陰文填金篆字︰「臨池真賞」，另面有陰文填藍隸書︰「 寶恩堂藏墨」，下鈐填金方印二︰「清玩」、「人生一樂」；兩側有陽文小字楷款︰「康熙丙申年製」、「汪希古造」。汪希古為清初歙人。《(乾隆)歙縣志》述製墨名家謂︰「而近則曹素功……同時居肆如吳守默、汪希古、葉公侶類，皆譽擅黑松。……」本墨作於康熙五十五年(1716 )，邱學敏《百十二家墨緣》中另有「康熙五十三年歙縣草莽臣汪希古」款的墨，則汪希古活躍於康熙後期，其墨曾上貢供卿。
「大壑五山」圓墨,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=334929&randomCode=52638231914,文具,明,高2.0公分 徑16.3公分 圓形墨，邊框起棱，一面模印明代文人焦竑所書〈大壑五山〉銘文，並見模鈐「弱候」印記與款識。另面則模印水面上有五座大山，方別位於四角與中央，正合焦竑所書寫的〈大壑五山〉銘記。此墨圖式見之於明代程君房《程氏墨苑》中，但本墨墨側只有「癸卯」款而無人名款，又其「卯」字有損傷。
「六龍御天頌」圓墨,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=334936&randomCode=90402346619,文具,明,徑16.0公分 圓形墨，邊框起棱，一面模印程君房所作之〈六龍御天頌〉。另面則模印六龍穿梭於雲間，一龍居中，身形最為碩大，正面向墨面外直視，眼神威嚴。其他五小龍則環繞於大龍周邊。墨側「君房聘袞監製」，聘袞或為與程君房相關之人，但文獻未見有記載。程君房為明代重要的製墨家，所以本墨以白綾布包、紅漆盒、包袱等層層包覆裝置，可見寶愛此墨的用心用意。
御題《萬春集慶》冊〈萬壑春雲〉詩綠墨,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=336883&randomCode=58894373431,文具,清 嘉慶十四年,長11.36公分 寬5.37公分 高1.82公分 長方形綠色顏料墨，細膩鮮豔。雙面起邊框，皆飾回紋一圈，一面作填金楷書御題詩「御題萬壑春雲冊詩。從龍翔鳳結絪緼，洞壑英英吐白雲，出岫無心羣待族，筆端造化幻繽紛。」另一面模印奇石幻山間，勁松挺立朵雲繚繞。墨兩側各有陽文楷款「嘉慶己巳（1809）年製」、「臣董教增恭錄」。五色畫錠一套十件，共收於雙龍「御題萬春集慶冊五色畫錠」漆盒。
御題《萬春集慶》冊〈萬派春濤〉詩藍墨,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=336893&randomCode=46312852928,文具,清 嘉慶十四年,長11.57公分 寬5.49公分 高1.79公分 長方形藍色顏料墨，細膩鮮豔。雙面起邊框，皆飾回紋一圈，一面作填金楷書御題詩「御題萬派春濤冊詩。新水淪漣滿四澤，桃花初漲漾輕濤，挂帆擬欲遊天上，境象清幽散彩毫。」另一面模印大海波濤，中有孤帆徜徉其上。五色畫錠一套十件，共收於雙龍「御題萬春集慶冊五色畫錠」漆盒。
澄泥玉堂硯,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=176433&randomCode=71806836407,文具,清,長21.3公分 寬13.0公分 高4.1公分 硯呈長方形，受墨處微窪下，硯面平廣斜下為墨池，墨池深廣，硯色黃，質輕極為細膩，硯面滿佈墨鏽，硯背覆手從上漸往下削，而成兩跗，耐高2.9公分，《硯譜》云為玉堂舊式也，中央鐫清高宗御題詩乙首：「陶自唐年抑宋年，玉堂舊式看依然，欲詢執筆其北者，上水船乎下水船。」鈐印二：「乾隆宸翰」、「惟精惟一」，款題：「乾隆戊戌御題」。按「乾隆戊戌」為清高宗乾隆四十三年，西元1778年，此御題詩亦著錄於《清高宗御製詩文全集》八，《御製詩》四集，卷七十五，頁十六。
仿澄泥虎伏硯,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=176437&randomCode=53186538298,文具,清 乾隆,長14.2公分 寬9.0公分 高4.8公分 全器作臥虎之形，色褐紫，器表滿佈仿古銅器的青綠鏽色。硯面沿邊起細棱，蓋邊突起寬邊以與硯身扣合。墨池呈太極圖形，墨堂略凹。硯蓋虎首兩小耳微尖，雙眼高突，略具貓態。蓋內陰刻清高宗隸書硯銘：「呂老所造，茲不可得；金閶巧鍛，如伏虎式，球琳其質，青綠其色；置之舊側，幾難別白；列於文房，友乎子墨；幾暇怡情，揮毫是北；每繹旅獒，不無慚德。」款：「乾隆戊戌仲夏，御銘」，印：「比德」、「朗潤」。這方硯收錄於《西清硯譜》卷二十三，頁三十四-三十七，成書之時這方硯收貯在文源閣。就目前的考古出土資料所知，這類硯式乃倣自漢硯中的異獸銅硯盒之外形，考古出土的漢硯實物中有一類可以歸為板研之列，但石硯收貯在銅製異獸形硯盒中，就目前所知已有兩例，一件是1957年出土於安徽省肥東縣，異獸作伏臥狀，頭生雙角，腰間雙翼，全身鑲嵌紅、藍色料珠，兩眼嵌淡綠色料質裝飾，通高6.5、器身高3.0、長12.5公分；另一件是1970年出土於江蘇徐州土山漢墓，銅異獸形制與前者相似，但器較大（長25.0、寬14.8、高0.5公分），通體鎏金，並鑲嵌珊瑚、綠松石、青金石等次寶石。虎伏硯式或即是受漢代這類硯盒影響下的附會之作。清高宗閱讀過南唐宋初張洎所撰《賈氏談錄》有關山西絳縣人收取澄泥的方法，於乾隆四十年（1775）首次使用宮中舊藏澄泥硯後，大為佳賞，遂於當年夏天諭令當時山西巡撫巴延三留心尋訪，第二年就在汾水取得澄泥硯材。雖然在絳縣取得硯材，但是當時絳縣並無燒造澄泥硯的匠人，遂發交蘇州研製，由這方澄泥虎伏硯可知至少在乾隆四十三年（1778）「吳中巧匠」已能「仿造進御」。
端石海天浴日硯,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=176441&randomCode=1752227528,文具,明,長19.3公分 寬13.4公分 高4.9公分 此硯為端溪子石。全器硯面及背滿刻海水波浪洶湧澎湃之中，擁襯一輪朝日，是作硯堂，硯首海浪低漩即作墨池。硯背在海浪洶湧中，浮硯一旭日，中淺浮雕一三足鳥。硯右側壁平坦處，鐫清高宗御題銘乙首，隸書、「洪波浡潏天之綱，咸池沐浴陽德光，紫雲既劚金烏翔，葆珍韞彩登文房，挹茲學海吐沛滂。」款題：「乾隆乙未春御題」（四十年，1775），鈐印二：「古香」、「太璞」。
暖硯,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=176452&randomCode=1907506027,文具,清 乾隆,長14.2公分 寬10.8公分 高1.2公分 玉石質，色淡紫。硯作長方形，硯面琢成瓶形，瓶口至肩部為墨池，其周圍雕飾幾何化動物紋，墨池中央挖空一桃形，硯面中央有一紅色圓形。硯背漥下，中央行書：「體具剛柔。用合動靜。日萬幾。欽屢省。福天下兮緜世永。」款題「乾隆御製」，下接鈐印「乾隆御賞」。
澄泥鳳鏡硯,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=176465&randomCode=22994970526,文具,宋,高2.5公分 徑15.2公分 澄泥硯，色紫，泛赭斑，硯面有使用後殘留痕跡。硯作圓形，硯面上端雕一鳳，鳳尾長而環繞硯緣，下漥以為墨池。硯背凹下，刻八字篆款。硯壁刻詩文：「唐時佳話。宋時製鏡。古依然見巳宜。合贈舍人賈至矣。鳳毛池上用為儀。」款題「乾隆丙午仲夏御題」（五十一年，1785），下接兩鈐印「古稀天子」、「猶日孜孜」。
